k,t,angle,bias,p00,p01,p10,p11,sym_resid,det,lambda_min,k0,k1,true_angle,true_bias
15756,19.695000,-0.2604760714,0.009544440545,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.2590348178,0.01338542076
15757,19.696250,-0.2624304853,0.00935684517,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.261265912,0.0132811231
15758,19.697500,-0.2644261532,0.009252203628,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.2634869217,0.01326495213
15759,19.698750,-0.2664713636,0.009043221362,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.2656976658,0.01333752194
15760,19.700000,-0.2685354538,0.00881234929,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.2678979646,0.01344964634
15761,19.701250,-0.2707524709,0.008709846064,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.2700876398,0.01349681359
15762,19.702500,-0.2723386474,0.008316983469,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.2722665144,0.01365126534
15763,19.703750,-0.2743835226,0.008383034728,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.2744344127,0.01375461756
15764,19.705000,-0.2765043452,0.008330624551,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.2765911606,0.01374356201
15765,19.706250,-0.2787648775,0.008350675926,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.2787365854,0.01372059807
15766,19.707500,-0.2808298245,0.008463934995,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.2808705157,0.0136160624
15767,19.708750,-0.2829680555,0.008447811939,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.2829927819,0.01352551489
15768,19.710000,-0.2850952633,0.008387118578,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.2851032157,0.01336876673
15769,19.711250,-0.2870686762,0.008383962326,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.2872016507,0.01340852957
15770,19.712500,-0.2888742052,0.008103560656,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.2892879217,0.01342107328
15771,19.713750,-0.2910416238,0.008330745623,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.2913618653,0.01339087589
15772,19.715000,-0.2929693311,0.008202500641,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.2934233199,0.0133246167
15773,19.716250,-0.2946947813,0.007962231524,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.2954721254,0.01326979638
15774,19.717500,-0.2971028611,0.008304651827,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.2975081234,0.0131080501
15775,19.718750,-0.2993691228,0.008519931696,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.2995311573,0.0131111951
15776,19.720000,-0.3014810272,0.008628687821,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3015410724,0.013233614
15777,19.721250,-0.303607218,0.008933334611,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3035377155,0.01328265414
15778,19.722500,-0.3057453707,0.009003676474,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3055209355,0.01322189599
15779,19.723750,-0.3077239245,0.009033997543,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3074905829,0.01320061305
15780,19.725000,-0.3097819351,0.008974327706,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3094465103,0.01298447171
15781,19.726250,-0.3116523437,0.008968193084,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3113885719,0.01283701675
15782,19.727500,-0.3136815578,0.009243561886,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3133166242,0.01272297167
15783,19.728750,-0.3157651462,0.009516108781,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3152305253,0.01280960115
15784,19.730000,-0.3173518404,0.009236950427,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3171301355,0.01289091797
15785,19.731250,-0.3192861788,0.009306030348,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3190153169,0.01293444127
15786,19.732500,-0.3208884709,0.009041655809,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3208859338,0.01292345297
15787,19.733750,-0.3225143105,0.008930694312,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3227418524,0.01285292309
15788,19.735000,-0.3241174668,0.008890324272,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.324582941,0.01287232051
15789,19.736250,-0.3260386065,0.009109593928,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.32640907,0.01301145369
15790,19.737500,-0.3278623521,0.009027847089,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.328220112,0.01288375694
15791,19.738750,-0.3294883668,0.008849205449,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3300159415,0.01286736644
15792,19.740000,-0.3310324289,0.008824307472,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3317964353,0.01276506699
15793,19.741250,-0.333324831,0.009280605242,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3335614724,0.01278921001
15794,19.742500,-0.3347997703,0.009128396399,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3353109339,0.01258450655
15795,19.743750,-0.3366159983,0.009129463695,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3370447032,0.01252770617
15796,19.745000,-0.3382185362,0.009035869502,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3387626659,0.01254473841
15797,19.746250,-0.3400891162,0.009066125378,1.728534698e-06,-1.728534698e-06,-1.728534698e-06,7.331371307e-06,0,9.6847e-12,1.23818e-06,0.01698886976,-0.01698887348,-0.3404647098,0.01238133266
