k,t,angle,bias,p00,p01,p10,p11,sym_resid,det,lambda_min,k0,k1,true_angle,true_bias
41,0.820000,0.3820952587,0.04365228862,1.009460539e-05,-1.765508205e-05,-1.765508205e-05,5.601532757e-05,0,2.53751e-10,4.09154e-06,0.100946161,-0.1765553057,0.3916958964,0.03046602652
42,0.840000,0.3683734015,0.0439112857,9.912066162e-06,-1.691654325e-05,-1.691654325e-05,5.301833153e-05,0,2.39352e-10,4.06617e-06,0.09912071656,-0.1691613197,0.3788592744,0.02978917711
43,0.860000,0.3571250215,0.0405959934,9.738840163e-06,-1.622829586e-05,-1.622829586e-05,5.028024316e-05,0,2.26314e-10,4.04305e-06,0.09738649428,-0.1622828096,0.3657260166,0.02948360334
44,0.880000,0.3454690874,0.03878888953,9.573996067e-06,-1.558568329e-05,-1.558568329e-05,4.777405411e-05,0,2.14475e-10,4.02195e-06,0.09574459121,-0.1558576077,0.352982255,0.02986546067
45,0.900000,0.3346859887,0.03883103188,9.417533875e-06,-1.498498023e-05,-1.498498023e-05,4.547461867e-05,0,2.03709e-10,4.003e-06,0.09417312779,-0.149851948,0.3412702428,0.03052018879
46,0.920000,0.3251586892,0.03864028305,9.26759094e-06,-1.442339271e-05,-1.442339271e-05,4.336144775e-05,0,1.93822e-10,3.98445e-06,0.09268053621,-0.1442345083,0.3311570568,0.0307868764
47,0.940000,0.3192376941,0.03658545483,9.125098586e-06,-1.389719546e-05,-1.389719546e-05,4.141591489e-05,0,1.84792e-10,3.96778e-06,0.09125224315,-0.1389688253,0.3231069838,0.03099892125
48,0.960000,0.3121008277,0.03878253885,8.98912549e-06,-1.340359449e-05,-1.340359449e-05,3.962218761e-05,0,1.76512e-10,3.95246e-06,0.08988887817,-0.134032324,0.3174588739,0.03090513154
49,0.980000,0.3118496165,0.03647911455,8.859671652e-06,-1.293979585e-05,-1.293979585e-05,3.796443343e-05,0,1.68914e-10,3.93873e-06,0.08859878406,-0.1294010729,0.3144095184,0.03057669232
50,1.000000,0.313198369,0.03519504517,8.73580575e-06,-1.250393689e-05,-1.250393689e-05,3.64324078e-05,0,1.61918e-10,3.92603e-06,0.08735933062,-0.1250382513,0.3140038261,0.03028886652
51,1.020000,0.3165088706,0.03386133723,8.617527783e-06,-1.209322363e-05,-1.209322363e-05,3.501027822e-05,0,1.55456e-10,3.91445e-06,0.08617872372,-0.1209361702,0.3161322663,0.03016083128
52,1.040000,0.3223774284,0.03375487123,8.504837751e-06,-1.170765609e-05,-1.170765609e-05,3.36933881e-05,0,1.49488e-10,3.90362e-06,0.08504963573,-0.1170721352,0.3205357065,0.03019771832
53,1.060000,0.3297640942,0.03290784918,8.396804333e-06,-1.134444028e-05,-1.134444028e-05,3.246963024e-05,0,1.43945e-10,3.89322e-06,0.08396464679,-0.1134401411,0.3268174359,0.03014259477
54,1.080000,0.3367042989,0.03424829803,8.29435885e-06,-1.100078225e-05,-1.100078225e-05,3.132876009e-05,0,1.38835e-10,3.88475e-06,0.08293974493,-0.1100055575,0.3344618335,0.02965388216
55,1.100000,0.3454309814,0.03389402293,8.194707334e-06,-1.0676682e-05,-1.0676682e-05,3.026705235e-05,0,1.34038e-10,3.87547e-06,0.08195179515,-0.1067639142,0.3428588336,0.02982923052
56,1.120000,0.352879066,0.03440239467,8.099712431e-06,-1.037027687e-05,-1.037027687e-05,2.927798778e-05,0,1.29601e-10,3.8675e-06,0.0809931783,-0.1037000269,0.3513330729,0.03032497612
57,1.140000,0.3600581847,0.03471859079,8.008442819e-06,-1.008063555e-05,-1.008063555e-05,2.835318446e-05,0,1.25446e-10,3.85963e-06,0.08008772973,-0.1008036137,0.3591763867,0.03160674584
58,1.160000,0.3663932346,0.03385232948,7.920898497e-06,-9.805895388e-06,-9.805895388e-06,2.748891711e-05,0,1.21581e-10,3.85274e-06,0.07921208162,-0.09806106985,0.3656821658,0.03089650139
59,1.180000,0.3696802668,0.0333449766,7.837079465e-06,-9.545125067e-06,-9.545125067e-06,2.667866647e-05,0,1.17973e-10,3.84666e-06,0.07837431878,-0.09545512497,0.3701799948,0.03061156435
60,1.200000,0.3708964512,0.03289409075,7.756985724e-06,-9.298324585e-06,-9.298324585e-06,2.592150122e-05,0,1.14614e-10,3.84131e-06,0.07756672893,-0.09298729897,0.3720689778,0.03080257437
