k,t,angle,bias,p00,p01,p10,p11,sym_resid,det,lambda_min,k0,k1,true_angle,true_bias
96,1.920000,0.3830155954,0.03486002237,6.23613596e-06,-5.207955837e-06,-5.207955837e-06,1.485645771e-05,0,6.55241e-11,3.7861e-06,0.06238211691,-0.05211316794,0.3842017919,0.02911561095
97,1.940000,0.3888247907,0.03521668166,6.221234798e-06,-5.163252354e-06,-5.163252354e-06,1.475214958e-05,0,6.51174e-11,3.78943e-06,0.06218557805,-0.05163498968,0.3918823765,0.02976434188
98,1.960000,0.3936319873,0.03507500887,6.206333637e-06,-5.125999451e-06,-5.125999451e-06,1.464039087e-05,0,6.45873e-11,3.78565e-06,0.06205450743,-0.05122292042,0.397423783,0.02971785282
99,1.980000,0.396817416,0.03490336984,6.191432476e-06,-5.081295967e-06,-5.081295967e-06,1.454353333e-05,0,6.42257e-11,3.79033e-06,0.06192339957,-0.05081073195,0.4013273297,0.02945980575
100,2.000000,0.4006327242,0.03399959207,6.169080734e-06,-5.036592484e-06,-5.036592484e-06,1.445412636e-05,0,6.38014e-11,3.79027e-06,0.06172666699,-0.05040195584,0.4041744204,0.02904971166
101,2.020000,0.4025199935,0.03388870507,6.154179573e-06,-4.999339581e-06,-4.999339581e-06,1.436471939e-05,0,6.34097e-11,3.79055e-06,0.06152985245,-0.04999300838,0.4065953216,0.02921344796
102,2.040000,0.4066319242,0.03272225708,6.131827831e-06,-4.962086678e-06,-4.962086678e-06,1.4282763e-05,0,6.29571e-11,3.7861e-06,0.06133296341,-0.04965382069,0.409235758,0.0297803825
103,2.060000,0.4097515568,0.0330536738,6.11692667e-06,-4.924833775e-06,-4.924833775e-06,1.420080662e-05,0,6.26113e-11,3.78774e-06,0.06113598496,-0.0492445454,0.4127228869,0.03008812911
104,2.080000,0.4153041095,0.03334876895,6.102025509e-06,-4.887580872e-06,-4.887580872e-06,1.412630081e-05,0,6.23106e-11,3.79074e-06,0.06100461632,-0.04890163988,0.4176322419,0.03062321808
105,2.100000,0.4231452644,0.03317533433,6.087124348e-06,-4.857778549e-06,-4.857778549e-06,1.405179501e-05,0,6.1937e-11,3.78798e-06,0.06087321788,-0.0485586375,0.4244571898,0.03034833994
106,2.120000,0.4334274009,0.03284069896,6.072223186e-06,-4.827976227e-06,-4.827976227e-06,1.398473978e-05,0,6.16091e-11,3.78658e-06,0.06074177474,-0.04828551412,0.4335823278,0.03010377044
107,2.140000,0.4458044469,0.0327302739,6.064772606e-06,-4.798173904e-06,-4.798173904e-06,1.391768456e-05,0,6.13851e-11,3.79127e-06,0.06061030179,-0.04801231623,0.4452620675,0.03009859567
108,2.160000,0.4612035453,0.03333200514,6.057322025e-06,-4.768371582e-06,-4.768371582e-06,1.386553049e-05,0,6.12506e-11,3.79868e-06,0.06054455042,-0.04766570777,0.4596054131,0.03030353412
109,2.180000,0.4797163159,0.03291715682,6.049871445e-06,-4.73856926e-06,-4.73856926e-06,1.380592585e-05,0,6.107e-11,3.80473e-06,0.06047879159,-0.04738905281,0.4765676569,0.03003485036
110,2.200000,0.4995880723,0.03353819251,6.034970284e-06,-4.708766937e-06,-4.708766937e-06,1.37463212e-05,0,6.07862e-11,3.8047e-06,0.06034724414,-0.04711565375,0.4959493963,0.03040104862
111,2.220000,0.5214349404,0.03403128684,6.020069122e-06,-4.686415195e-06,-4.686415195e-06,1.369416714e-05,0,6.04773e-11,3.80027e-06,0.06021565944,-0.04684218019,0.5174029418,0.03043934775
112,2.240000,0.5443088859,0.03439698368,6.005167961e-06,-4.664063454e-06,-4.664063454e-06,1.364201307e-05,0,6.01691e-11,3.79583e-06,0.06008403003,-0.04663865268,0.5404458427,0.0299857129
113,2.260000,0.5678827986,0.03523996472,5.997717381e-06,-4.641711712e-06,-4.641711712e-06,1.358985901e-05,0,5.99626e-11,3.79749e-06,0.05995237082,-0.04643507302,0.5644809335,0.0301757729
114,2.280000,0.5923883244,0.03541625291,5.982816219e-06,-4.61935997e-06,-4.61935997e-06,1.355260611e-05,0,5.97443e-11,3.79578e-06,0.05982067436,-0.04616139084,0.588821998,0.02935757456
115,2.300000,0.615643613,0.03557968885,5.967915058e-06,-4.597008228e-06,-4.597008228e-06,1.350790262e-05,0,5.94815e-11,3.79271e-06,0.05968894809,-0.04595768452,0.6127238944,0.02975787281
