t,naive_lambda_min,joseph_lambda_min,naive_sym_resid,joseph_sym_resid,naive_p00,joseph_p00,naive_angle_err_deg,joseph_angle_err_deg
0.515,1.98838e-06,2.09917e-06,1.67638e-08,0,3.66382e-06,4.35859e-06,0.0498464,6.96852e-05
0.52,1.98991e-06,2.09759e-06,1.86265e-08,0,3.64333e-06,4.32879e-06,0.0486502,3.65755e-05
0.525,1.99209e-06,2.09611e-06,1.58325e-08,0,3.62378e-06,4.29992e-06,0.0530479,5.39692e-05
0.53,1.99465e-06,2.09287e-06,1.11759e-08,0,3.60422e-06,4.27011e-06,0.053471,4.28985e-05
0.535,1.99595e-06,2.0912e-06,1.67638e-08,0,3.58559e-06,4.24217e-06,0.05882,2.27879e-06
0.54,1.99718e-06,2.08926e-06,1.86265e-08,0,3.56697e-06,4.21423e-06,0.0599643,-1.36874e-05
0.545,1.99921e-06,2.08695e-06,1.67638e-08,0,3.54927e-06,4.18629e-06,0.0624291,4.70282e-05
0.55,2.00153e-06,2.08565e-06,1.30385e-08,0,3.53158e-06,4.16022e-06,0.0600122,-2.72282e-06
0.555,2.00465e-06,2.08422e-06,5.58794e-09,0,3.51481e-06,4.13414e-06,0.057525,-4.69197e-05
0.56,2.00565e-06,2.082e-06,9.31323e-09,0,3.49805e-06,4.10806e-06,0.0526208,-0.000120687
0.565,2.00674e-06,2.08009e-06,1.02445e-08,0,3.48128e-06,4.08292e-06,0.0558083,-7.16276e-05
0.57,2.00791e-06,2.07832e-06,8.3819e-09,0,3.46452e-06,4.05777e-06,0.0593348,-2.16559e-05
0.575,2.00978e-06,2.07674e-06,2.79397e-09,0,3.44869e-06,4.03356e-06,0.0544168,-9.5759e-05
0.58,2.01099e-06,2.07579e-06,9.31323e-09,0,3.43379e-06,4.01028e-06,0.0562383,-6.03433e-05
0.585,2.01089e-06,2.07497e-06,1.30385e-08,0,3.41795e-06,3.98792e-06,0.0574101,-3.66545e-05
0.59,2.01238e-06,2.0741e-06,1.30385e-08,0,3.40398e-06,3.96557e-06,0.0625731,8.24406e-05
0.595,2.01344e-06,2.07373e-06,1.21072e-08,0,3.38908e-06,3.94415e-06,0.0650457,2.87203e-05
0.6,2.01495e-06,2.07196e-06,8.3819e-09,0,3.37511e-06,3.9218e-06,0.0650524,1.59811e-05
0.605,2.01666e-06,2.07055e-06,2.79397e-09,0,3.36114e-06,3.90038e-06,0.0647246,7.53549e-06
0.61,2.01735e-06,2.06935e-06,8.3819e-09,0,3.3481e-06,3.87896e-06,0.0673235,-1.20003e-06
0.615,2.01735e-06,2.06847e-06,1.21072e-08,0,3.33413e-06,3.85847e-06,0.0682822,-3.85215e-06
0.62,2.0191e-06,2.06781e-06,1.30385e-08,0,3.32203e-06,3.83891e-06,0.0681398,-1.20208e-05
0.625,2.01991e-06,2.06688e-06,1.30385e-08,0,3.30899e-06,3.81935e-06,0.070592,4.74334e-05
0.63,2.02028e-06,2.06603e-06,1.02445e-08,0,3.29595e-06,3.7998e-06,0.0737477,-1.36959e-05
0.635,2.02195e-06,2.06484e-06,6.51926e-09,0,3.28384e-06,3.78024e-06,0.0752122,-2.63649e-05
0.64,2.02335e-06,2.06291e-06,9.31323e-10,0,3.27174e-06,3.76068e-06,0.0765531,-1.80306e-05
0.645,2.02332e-06,2.06277e-06,3.72529e-09,0,3.25963e-06,3.74299e-06,0.0750754,-5.0958e-05
0.65,2.0239e-06,2.06214e-06,6.51926e-09,0,3.24845e-06,3.72529e-06,0.0779669,-0.000106186
0.655,2.02354e-06,2.06197e-06,8.3819e-09,0,3.23635e-06,3.70853e-06,0.0774297,-0.00010471
0.66,2.02399e-06,2.06121e-06,7.45058e-09,0,3.22517e-06,3.69083e-06,0.0780125,-9.13499e-05
0.665,2.02439e-06,2.05995e-06,5.58794e-09,0,3.21399e-06,3.67314e-06,0.0757296,-0.000149935
0.67,2.02577e-06,2.0591e-06,1.86265e-09,0,3.20375e-06,3.65637e-06,0.0775381,-0.000158712
0.675,2.0273e-06,2.05714e-06,3.72529e-09,0,3.19351e-06,3.63868e-06,0.0764541,-0.000158406
0.68,2.02667e-06,2.05594e-06,1.86265e-09,0,3.18326e-06,3.62191e-06,0.0755719,-0.000165949
0.685,2.02635e-06,2.05423e-06,6.51926e-09,0,3.17302e-06,3.60515e-06,0.0767972,-0.000166263
0.69,2.02685e-06,2.0541e-06,1.02445e-08,0,3.1637e-06,3.59025e-06,0.0777337,-0.000141124
0.695,2.02725e-06,2.05236e-06,1.11759e-08,0,3.15439e-06,3.57348e-06,0.0760689,-0.000180546
0.7,2.02685e-06,2.05211e-06,1.21072e-08,0,3.14415e-06,3.55858e-06,0.074278,-0.000173451
0.705,2.02724e-06,2.05162e-06,1.02445e-08,0,3.13483e-06,3.54368e-06,0.0750029,-0.000140536
0.71,2.0286e-06,2.05173e-06,8.3819e-09,0,3.12645e-06,3.52971e-06,0.0754812,-0.000143533
0.715,2.02918e-06,2.05118e-06,4.65661e-09,0,3.11714e-06,3.51574e-06,0.0715887,-0.000185505
0.72,2.03053e-06,2.05064e-06,0,0,3.10875e-06,3.50177e-06,0.0682737,-0.000299239
0.725,2.03115e-06,2.0511e-06,6.51926e-09,0,3.09944e-06,3.48873e-06,0.0650452,-0.000309277
0.73,2.03097e-06,2.05039e-06,9.31323e-10,0,3.09106e-06,3.47476e-06,0.0654214,-0.000278206
0.735,2.03089e-06,2.05021e-06,2.79397e-09,0,3.08268e-06,3.46173e-06,0.0689505,-0.00027367
0.74,2.03023e-06,2.05005e-06,5.58794e-09,0,3.0743e-06,3.44869e-06,0.0667385,-0.000332505
0.745,2.03077e-06,2.04953e-06,7.45058e-09,0,3.06685e-06,3.43565e-06,0.0667802,-0.000337695
0.75,2.0314e-06,2.04904e-06,7.45058e-09,0,3.05939e-06,3.42261e-06,0.0689512,-0.000274705
0.755,2.03209e-06,2.0481e-06,7.45058e-09,0,3.05194e-06,3.40957e-06,0.0627685,-0.000242145
0.76,2.03266e-06,2.04769e-06,6.51926e-09,0,3.04449e-06,3.39746e-06,0.059824,-0.0003184
0.765,2.03307e-06,2.04773e-06,2.79397e-09,0,3.03704e-06,3.38629e-06,0.0585199,-0.000306812
0.77,2.03359e-06,2.04779e-06,9.31323e-10,0,3.02959e-06,3.37511e-06,0.0568372,-0.000341512
0.775,2.03436e-06,2.04731e-06,5.58794e-09,0,3.02214e-06,3.36301e-06,0.0558373,-0.000332866
0.78,2.03591e-06,2.04728e-06,1.11759e-08,0,3.01562e-06,3.35183e-06,0.0529811,-0.000415614
0.785,2.03546e-06,2.0471e-06,5.58794e-09,0,3.0091e-06,3.34065e-06,0.0530931,-0.00040802
0.79,2.0344e-06,2.04559e-06,9.31323e-10,0,3.00165e-06,3.32855e-06,0.0513227,-0.000466555
0.795,2.03343e-06,2.04581e-06,3.72529e-09,0,2.9942e-06,3.3183e-06,0.0519408,-0.000447846
0.8,2.03386e-06,2.0459e-06,6.51926e-09,0,2.98861e-06,3.30806e-06,0.0513504,-0.000458296
0.805,2.03455e-06,2.04495e-06,8.3819e-09,0,2.98303e-06,3.29688e-06,0.0539132,-0.00039687
0.81,2.03419e-06,2.04574e-06,9.31323e-09,0,2.97651e-06,3.28757e-06,0.0537748,-0.000386682
0.815,2.03389e-06,2.04511e-06,1.02445e-08,0,2.96999e-06,3.27732e-06,0.0543788,-0.000347433
0.82,2.03456e-06,2.04425e-06,9.31323e-09,0,2.9644e-06,3.26615e-06,0.0565257,-0.000336728
0.825,2.0342e-06,2.04334e-06,7.45058e-09,0,2.95788e-06,3.2559e-06,0.0556082,-0.000359469
0.83,2.03519e-06,2.04319e-06,5.58794e-09,0,2.95229e-06,3.24659e-06,0.0524309,-0.000396959
0.835,2.03581e-06,2.04242e-06,3.72529e-09,0,2.9467e-06,3.23635e-06,0.0497155,-0.000338854
0.84,2.03735e-06,2.04232e-06,0,0,2.94205e-06,3.22703e-06,0.0503429,-0.000287151
0.845,2.03828e-06,2.04256e-06,4.65661e-09,0,2.93646e-06,3.21865e-06,0.0501042,-0.000263327
0.85,2.03905e-06,2.04347e-06,1.02445e-08,0,2.93087e-06,3.21027e-06,0.0481981,-0.000336841
0.855,2.04008e-06,2.04328e-06,1.49012e-08,0,2.92528e-06,3.20096e-06,0.0461873,-0.000361762
0.86,2.03835e-06,2.04296e-06,9.31323e-09,0,2.91876e-06,3.19164e-06,0.0470441,-0.000344359
0.865,2.03733e-06,2.0433e-06,4.65661e-09,0,2.91318e-06,3.18326e-06,0.0487768,-0.00022511
0.87,2.03704e-06,2.0431e-06,9.31323e-10,0,2.90852e-06,3.17488e-06,0.049744,-0.000184064
0.875,2.03722e-06,2.04349e-06,2.79397e-09,0,2.90386e-06,3.1665e-06,0.0477471,-0.000151984
0.88,2.03724e-06,2.04335e-06,5.58794e-09,0,2.89921e-06,3.15811e-06,0.0455664,-0.000237225
0.885,2.03638e-06,2.04298e-06,8.3819e-09,0,2.89362e-06,3.14973e-06,0.0437397,-0.000244579
0.89,2.03624e-06,2.04328e-06,1.02445e-08,0,2.88896e-06,3.14228e-06,0.0436838,-0.000224741
0.895,2.03636e-06,2.04288e-06,1.11759e-08,0,2.88431e-06,3.1339e-06,0.0407619,-0.000347735
0.9,2.03632e-06,2.04314e-06,1.11759e-08,0,2.87965e-06,3.12645e-06,0.0398262,-0.000344904
0.905,2.03545e-06,2.0427e-06,1.11759e-08,0,2.87406e-06,3.11807e-06,0.0378788,-0.00031161
0.91,2.03567e-06,2.04203e-06,1.02445e-08,0,2.8694e-06,3.10969e-06,0.0386861,-0.000231717
0.915,2.0364e-06,2.04204e-06,9.31323e-09,0,2.86568e-06,3.10224e-06,0.0374809,-0.000247563
0.92,2.03739e-06,2.04222e-06,7.45058e-09,0,2.86195e-06,3.09478e-06,0.0362999,-0.000231414
0.925,2.03817e-06,2.04267e-06,4.65661e-09,0,2.85823e-06,3.08827e-06,0.0375931,-0.000107652
0.93,2.03854e-06,2.04232e-06,1.86265e-09,0,2.85357e-06,3.08082e-06,0.0388079,-3.61883e-05
0.935,2.03875e-06,2.04166e-06,1.86265e-09,0,2.84892e-06,3.07336e-06,0.0383301,-3.68167e-05
0.94,2.03901e-06,2.04254e-06,5.58794e-09,0,2.84426e-06,3.06778e-06,0.037228,-1.81051e-05
0.945,2.03995e-06,2.04232e-06,1.02445e-08,0,2.84053e-06,3.06126e-06,0.0366586,-4.34308e-05
0.95,2.04093e-06,2.04219e-06,1.49012e-08,0,2.83681e-06,3.05474e-06,0.0374045,-1.70284e-05
0.955,2.03947e-06,2.04225e-06,9.31323e-09,0,2.83215e-06,3.04822e-06,0.0386364,-1.52444e-05
0.96,2.03801e-06,2.04111e-06,3.72529e-09,0,2.8275e-06,3.04077e-06,0.0395439,-4.52063e-05
0.965,2.03706e-06,2.03975e-06,1.86265e-09,0,2.82377e-06,3.03332e-06,0.0408454,4.2291e-05
0.97,2.03658e-06,2.04024e-06,7.45058e-09,0,2.82004e-06,3.02773e-06,0.041794,7.36999e-05
0.975,2.03657e-06,2.03954e-06,1.11759e-08,0,2.81725e-06,3.02121e-06,0.0424248,6.96857e-05
0.98,2.0366e-06,2.03992e-06,1.49012e-08,0,2.81446e-06,3.01562e-06,0.0420519,5.13983e-05
0.985,2.03684e-06,2.04038e-06,1.76951e-08,0,2.81166e-06,3.01003e-06,0.0426426,9.26158e-05
0.99,2.03625e-06,2.03965e-06,2.04891e-08,0,2.80794e-06,3.00352e-06,0.0415362,6.29118e-05
