prior,mode,grid,sampler,n_steps,h_max,nfe,error,mc_floor,pairwise_order,fitted_slope,fit_residual_decades,fit_n_min,fit_n_max,flow_map_condition
canonical,ode_trajectory,uniform_t,exponential_2,8,0.124875,16,0.10965650229815652,,,1.9305,0.00785,32,1024,4.5555
canonical,ode_trajectory,uniform_t,exponential_2,16,0.0624375,32,0.029113531910119235,,1.9132,1.9305,0.00785,32,1024,4.5555
canonical,ode_trajectory,uniform_t,exponential_2,32,0.03121875,64,0.0078102282274806,,1.8983,1.9305,0.00785,32,1024,4.5555
canonical,ode_trajectory,uniform_t,exponential_2,64,0.01560938,128,0.0020964696248596836,,1.8974,1.9305,0.00785,32,1024,4.5555
canonical,ode_trajectory,uniform_t,exponential_2,128,0.00780469,256,0.0005592565183719308,,1.9064,1.9305,0.00785,32,1024,4.5555
canonical,ode_trajectory,uniform_t,exponential_2,256,0.00390234,512,0.00014722907736315754,,1.9254,1.9305,0.00785,32,1024,4.5555
canonical,ode_trajectory,uniform_t,exponential_2,512,0.00195117,1024,3.80481363560651e-05,,1.9522,1.9305,0.00785,32,1024,4.5555
canonical,ode_trajectory,uniform_t,exponential_2,1024,0.00097559,2048,9.665176823025536e-06,,1.977,1.9305,0.00785,32,1024,4.5555
sharp,ode_trajectory,uniform_logsnr,euler_ode,8,0.2319508,8,0.4284011324691142,,,1.341,0.17219,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,euler_ode,16,0.12020945,16,0.30748106968425354,,0.4785,1.341,0.17219,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,euler_ode,32,0.06036613,32,0.20601886919560594,,0.5777,1.341,0.17219,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,euler_ode,64,0.03027544,64,0.13908057365101842,,0.5669,1.341,0.17219,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,euler_ode,128,0.01513864,128,0.0752199570430511,,0.8867,1.341,0.17219,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,euler_ode,256,0.00757167,256,0.009012671694455741,,3.0611,1.341,0.17219,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,euler_ode,512,0.00378611,512,0.005482182299440254,,0.7172,1.341,0.17219,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,euler_ode,1024,0.00189308,1024,0.0032919756421722394,,0.7358,1.341,0.17219,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,heun,8,0.2319508,16,0.12747010856893987,,,1.9561,0.00387,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,heun,16,0.12020945,32,0.016589557767883668,,2.9418,1.9561,0.00387,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,heun,32,0.06036613,64,0.003877143591768966,,2.0972,1.9561,0.00387,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,heun,64,0.03027544,128,0.0009804909877716569,,1.9834,1.9561,0.00387,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,heun,128,0.01513864,256,0.0002555323315030592,,1.94,1.9561,0.00387,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,heun,256,0.00757167,512,6.665389335473279e-05,,1.9387,1.9561,0.00387,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,heun,512,0.00378611,1024,1.7175595023735735e-05,,1.9563,1.9561,0.00387,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,heun,1024,0.00189308,2048,4.371169943329773e-06,,1.9743,1.9561,0.00387,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,exponential_1,8,0.2319508,8,0.6087483538291465,,,1.3577,0.1867,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,exponential_1,16,0.12020945,16,0.39641912978675947,,0.6188,1.3577,0.1867,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,exponential_1,32,0.06036613,32,0.25947526102309504,,0.6114,1.3577,0.1867,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,exponential_1,64,0.03027544,64,0.16898922282515885,,0.6187,1.3577,0.1867,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,exponential_1,128,0.01513864,128,0.11274532065265098,,0.5839,1.3577,0.1867,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,exponential_1,256,0.00757167,256,0.011694288706629816,,3.2692,1.3577,0.1867,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,exponential_1,512,0.00378611,512,0.006671140221811649,,0.8098,1.3577,0.1867,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,exponential_1,1024,0.00189308,1024,0.003931189132309118,,0.763,1.3577,0.1867,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,exponential_2,8,0.2319508,16,0.25831976509242377,,,2.3234,0.17913,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,exponential_2,16,0.12020945,32,0.11519664108059542,,1.1651,2.3234,0.17913,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,exponential_2,32,0.06036613,64,0.07076866880607798,,0.7029,2.3234,0.17913,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,exponential_2,64,0.03027544,128,0.004254117940132203,,4.0562,2.3234,0.17913,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,exponential_2,128,0.01513864,256,0.0009613313444207096,,2.1458,2.3234,0.17913,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,exponential_2,256,0.00757167,512,0.00024060069479695434,,1.9984,2.3234,0.17913,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,exponential_2,512,0.00378611,1024,6.0760257930829745e-05,,1.9854,2.3234,0.17913,32,1024,16597.2488
sharp,ode_trajectory,uniform_logsnr,exponential_2,1024,0.00189308,2048,1.530237057850404e-05,,1.9894,2.3234,0.17913,32,1024,16597.2488
canonical,sde_strong,uniform_t,euler_maruyama,8,0.124875,8,0.4374491169209304,,,1.0013,0.00474,8,128,
canonical,sde_strong,uniform_t,euler_maruyama,16,0.0624375,16,0.22194575926778784,,0.9789,1.0013,0.00474,8,128,
canonical,sde_strong,uniform_t,euler_maruyama,32,0.03121875,32,0.1118443074962757,,0.9887,1.0013,0.00474,8,128,
canonical,sde_strong,uniform_t,euler_maruyama,64,0.01560938,64,0.05568472169641007,,1.0061,1.0013,0.00474,8,128,
canonical,sde_strong,uniform_t,euler_maruyama,128,0.00780469,128,0.02717366970638824,,1.0351,1.0013,0.00474,8,128,
canonical,sde_weak_second_moment,uniform_t,euler_maruyama,8,0.124875,8,0.08893184743822727,0.011085309,,1.1267,0.02757,8,128,
canonical,sde_weak_second_moment,uniform_t,euler_maruyama,16,0.0624375,16,0.03399293154018623,0.0050301252,1.3875,1.1267,0.02757,8,128,
canonical,sde_weak_second_moment,uniform_t,euler_maruyama,32,0.03121875,32,0.01633727073345808,0.0024509337,1.0571,1.1267,0.02757,8,128,
canonical,sde_weak_second_moment,uniform_t,euler_maruyama,64,0.01560938,64,0.007805559218767938,0.001218834,1.0656,1.1267,0.02757,8,128,
canonical,sde_weak_second_moment,uniform_t,euler_maruyama,128,0.00780469,128,0.0037390799927661165,0.0005974642,1.0618,1.1267,0.02757,8,128,
canonical,sde_weak_mean,uniform_t,euler_maruyama,8,0.124875,8,0.003151954203566407,0.0013906831,,1.5465,0.20593,8,128,
canonical,sde_weak_mean,uniform_t,euler_maruyama,16,0.0624375,16,0.00047838231253843466,0.0009310639,2.72,1.5465,0.20593,8,128,
canonical,sde_weak_mean,uniform_t,euler_maruyama,32,0.03121875,32,0.00014913887752932356,0.0005225235,1.6815,1.5465,0.20593,8,128,
canonical,sde_weak_mean,uniform_t,euler_maruyama,64,0.01560938,64,0.0001730933817198129,0.00026464,-0.2149,1.5465,0.20593,8,128,
canonical,sde_weak_mean,uniform_t,euler_maruyama,128,0.00780469,128,2.463914130956097e-05,0.0001301919,2.8125,1.5465,0.20593,8,128,
