experiment,workload,split,unit,alpha,target_coverage,empirical_coverage,coverage_std,mean_set_size,empty_rate,singleton_rate,error_rate,escalation_rate,accept_rate,union_bound,slack,mean_cost,n_cal,n_test,n_splits
cascade,nominal,equal,tier1:mid,0.05833,0.94167,0.9392,,,,,0.13285,0.96827,0.0317,,,,12000,20000,1
cascade,nominal,equal,tier2:large,0.05833,0.94167,0.94215,,,,,0.0204,0.0,0.9673,,,,12000,20000,1
cascade,nominal,equal,end-to-end,0.2,0.8,0.9367,,1.1069,,,,,,0.2,0.1367,4.3457,12000,20000,1
cascade,nominal,equal,tier0:small,0.06667,0.93333,0.93305,,,,,0.29785,0.99875,0.00125,,,,12000,20000,1
cascade,nominal,equal,tier1:mid,0.06667,0.93333,0.9316,,,,,0.13285,0.9611,0.03885,,,,12000,20000,1
cascade,nominal,equal,tier2:large,0.06667,0.93333,0.9357,,,,,0.0204,0.0,0.9599,,,,12000,20000,1
cascade,nominal,front-loaded,end-to-end,0.01,0.99,0.9989,,6.6318,,,,,,0.01,0.0089,4.4524,12000,20000,1
cascade,nominal,front-loaded,tier0:small,0.007,0.993,0.995,,,,,0.29785,0.99985,0.00015,,,,12000,20000,1
cascade,nominal,front-loaded,tier1:mid,0.002,0.998,0.99855,,,,,0.13285,0.9971,0.0029,,,,12000,20000,1
cascade,nominal,front-loaded,tier2:large,0.001,0.999,0.9989,,,,,0.0204,0.0,0.99695,,,,12000,20000,1
cascade,nominal,front-loaded,end-to-end,0.02,0.98,0.9982,,6.1571,,,,,,0.02,0.0182,4.4481,12000,20000,1
cascade,nominal,front-loaded,tier0:small,0.014,0.986,0.9881,,,,,0.29785,0.99975,0.00025,,,,12000,20000,1
cascade,nominal,front-loaded,tier1:mid,0.004,0.996,0.9958,,,,,0.13285,0.9957,0.0043,,,,12000,20000,1
cascade,nominal,front-loaded,tier2:large,0.002,0.998,0.9982,,,,,0.0204,0.0,0.99545,,,,12000,20000,1
cascade,nominal,front-loaded,end-to-end,0.05,0.95,0.99555,,5.2411,,,,,,0.05,0.04555,4.4398,12000,20000,1
cascade,nominal,front-loaded,tier0:small,0.035,0.965,0.96865,,,,,0.29785,0.99955,0.00045,,,,12000,20000,1
cascade,nominal,front-loaded,tier1:mid,0.01,0.99,0.9905,,,,,0.13285,0.9931,0.0069,,,,12000,20000,1
cascade,nominal,front-loaded,tier2:large,0.005,0.995,0.99555,,,,,0.0204,0.0,0.99265,,,,12000,20000,1
cascade,nominal,front-loaded,end-to-end,0.075,0.925,0.9931,,4.5699,,,,,,0.075,0.0681,4.4339,12000,20000,1
cascade,nominal,front-loaded,tier0:small,0.0525,0.9475,0.94895,,,,,0.29785,0.99925,0.00075,,,,12000,20000,1
cascade,nominal,front-loaded,tier1:mid,0.015,0.985,0.98635,,,,,0.13285,0.99144,0.00855,,,,12000,20000,1
cascade,nominal,front-loaded,tier2:large,0.0075,0.9925,0.9931,,,,,0.0204,0.0,0.9907,,,,12000,20000,1
cascade,nominal,front-loaded,end-to-end,0.1,0.9,0.99065,,3.7201,,,,,,0.1,0.09065,4.426,12000,20000,1
cascade,nominal,front-loaded,tier0:small,0.07,0.93,0.931,,,,,0.29785,0.9987,0.0013,,,,12000,20000,1
cascade,nominal,front-loaded,tier1:mid,0.02,0.98,0.97995,,,,,0.13285,0.98934,0.01065,,,,12000,20000,1
cascade,nominal,front-loaded,tier2:large,0.01,0.99,0.9907,,,,,0.0204,0.0,0.98805,,,,12000,20000,1
cascade,nominal,front-loaded,end-to-end,0.125,0.875,0.98815,,3.0107,,,,,,0.125,0.11315,4.4148,12000,20000,1
cascade,nominal,front-loaded,tier0:small,0.0875,0.9125,0.91555,,,,,0.29785,0.99815,0.00185,,,,12000,20000,1
cascade,nominal,front-loaded,tier1:mid,0.025,0.975,0.97335,,,,,0.13285,0.98602,0.01395,,,,12000,20000,1
cascade,nominal,front-loaded,tier2:large,0.0125,0.9875,0.9883,,,,,0.0204,0.0,0.9842,,,,12000,20000,1
cascade,nominal,front-loaded,end-to-end,0.15,0.85,0.9854,,2.3533,,,,,,0.15,0.1354,4.4067,12000,20000,1
cascade,nominal,front-loaded,tier0:small,0.105,0.895,0.8995,,,,,0.29785,0.9972,0.0028,,,,12000,20000,1
cascade,nominal,front-loaded,tier1:mid,0.03,0.97,0.96815,,,,,0.13285,0.98431,0.01565,,,,12000,20000,1
cascade,nominal,front-loaded,tier2:large,0.015,0.985,0.98565,,,,,0.0204,0.0,0.98155,,,,12000,20000,1
cascade,nominal,front-loaded,end-to-end,0.175,0.825,0.98285,,1.7225,,,,,,0.175,0.15785,4.3976,12000,20000,1
cascade,nominal,front-loaded,tier0:small,0.1225,0.8775,0.88305,,,,,0.29785,0.99645,0.00355,,,,12000,20000,1
cascade,nominal,front-loaded,tier1:mid,0.035,0.965,0.96365,,,,,0.13285,0.98199,0.01795,,,,12000,20000,1
cascade,nominal,front-loaded,tier2:large,0.0175,0.9825,0.9831,,,,,0.0204,0.0,0.9785,,,,12000,20000,1
cascade,nominal,front-loaded,end-to-end,0.2,0.8,0.9811,,1.4966,,,,,,0.2,0.1811,4.3858,12000,20000,1
cascade,nominal,front-loaded,tier0:small,0.14,0.86,0.86485,,,,,0.29785,0.9951,0.0049,,,,12000,20000,1
cascade,nominal,front-loaded,tier1:mid,0.04,0.96,0.9584,,,,,0.13285,0.9797,0.0202,,,,12000,20000,1
cascade,nominal,front-loaded,tier2:large,0.02,0.98,0.98145,,,,,0.0204,0.0,0.9749,,,,12000,20000,1
cascade,easy,equal,end-to-end,0.01,0.99,0.997,,1.3014,,,,,,0.01,0.007,4.3139,12000,20000,1
cascade,easy,equal,tier0:small,0.00333,0.99667,0.9978,,,,,0.0745,0.9982,0.0018,,,,12000,20000,1
cascade,easy,equal,tier1:mid,0.00333,0.99667,0.9966,,,,,0.02145,0.95016,0.04975,,,,12000,20000,1
cascade,easy,equal,tier2:large,0.00333,0.99667,0.9971,,,,,0.00265,0.0,0.94845,,,,12000,20000,1
cascade,easy,equal,end-to-end,0.02,0.98,0.9942,,1.1917,,,,,,0.02,0.0142,4.228,12000,20000,1
cascade,easy,equal,tier0:small,0.00667,0.99333,0.9952,,,,,0.0745,0.99725,0.00275,,,,12000,20000,1
cascade,easy,equal,tier1:mid,0.00667,0.99333,0.99345,,,,,0.02145,0.92158,0.0782,,,,12000,20000,1
cascade,easy,equal,tier2:large,0.00667,0.99333,0.99415,,,,,0.00265,0.0,0.91905,,,,12000,20000,1
cascade,easy,equal,end-to-end,0.05,0.95,0.9855,,1.0924,,,,,,0.05,0.0355,3.8312,12000,20000,1
cascade,easy,equal,tier0:small,0.01667,0.98333,0.98355,,,,,0.0745,0.99235,0.00765,,,,12000,20000,1
cascade,easy,equal,tier1:mid,0.01667,0.98333,0.9844,,,,,0.02145,0.78596,0.2124,,,,12000,20000,1
cascade,easy,equal,tier2:large,0.01667,0.98333,0.9845,,,,,0.00265,0.0,0.77995,,,,12000,20000,1
cascade,easy,equal,end-to-end,0.075,0.925,0.98145,,1.0418,,,,,,0.075,0.05645,2.9414,12000,20000,1
cascade,easy,equal,tier0:small,0.025,0.975,0.97755,,,,,0.0745,0.9883,0.0117,,,,12000,20000,1
cascade,easy,equal,tier1:mid,0.025,0.975,0.9774,,,,,0.02145,0.47197,0.52185,,,,12000,20000,1
cascade,easy,equal,tier2:large,0.025,0.975,0.9768,,,,,0.00265,0.0,0.46645,,,,12000,20000,1
cascade,easy,equal,end-to-end,0.1,0.9,0.97805,,1.024,,,,,,0.1,0.07805,2.7022,12000,20000,1
cascade,easy,equal,tier0:small,0.03333,0.96667,0.96855,,,,,0.0745,0.9814,0.0186,,,,12000,20000,1
cascade,easy,equal,tier1:mid,0.03333,0.96667,0.9693,,,,,0.02145,0.39062,0.59805,,,,12000,20000,1
cascade,easy,equal,tier2:large,0.03333,0.96667,0.9678,,,,,0.00265,0.0,0.38335,,,,12000,20000,1
cascade,easy,equal,end-to-end,0.125,0.875,0.97455,,1.0125,,,,,,0.125,0.09955,2.5711,12000,20000,1
cascade,easy,equal,tier0:small,0.04167,0.95833,0.9603,,,,,0.0745,0.97235,0.02765,,,,12000,20000,1
cascade,easy,equal,tier1:mid,0.04167,0.95833,0.96315,,,,,0.02145,0.35054,0.6315,,,,12000,20000,1
cascade,easy,equal,tier2:large,0.04167,0.95833,0.9575,,,,,0.00265,0.0,0.34085,,,,12000,20000,1
cascade,easy,equal,end-to-end,0.15,0.85,0.97245,,1.0059,,,,,,0.15,0.12245,2.4526,12000,20000,1
cascade,easy,equal,tier0:small,0.05,0.95,0.95125,,,,,0.0745,0.95115,0.04885,,,,12000,20000,1
cascade,easy,equal,tier1:mid,0.05,0.95,0.9565,,,,,0.02145,0.32224,0.64465,,,,12000,20000,1
cascade,easy,equal,tier2:large,0.05,0.95,0.95045,,,,,0.00265,0.0,0.3065,,,,12000,20000,1
cascade,easy,equal,end-to-end,0.175,0.825,0.9701,,1.0005,,,,,,0.175,0.1451,2.3189,12000,20000,1
cascade,easy,equal,tier0:small,0.05833,0.94167,0.9438,,,,,0.0745,0.9071,0.0929,,,,12000,20000,1
cascade,easy,equal,tier1:mid,0.05833,0.94167,0.94825,,,,,0.02145,0.30465,0.63075,,,,12000,20000,1
cascade,easy,equal,tier2:large,0.05833,0.94167,0.94335,,,,,0.00265,0.0,0.27635,,,,12000,20000,1
cascade,easy,equal,end-to-end,0.2,0.8,0.965,,0.998,,,,,,0.2,0.165,1.9931,12000,20000,1
